8   4   1 
 2.0 -20.687 -20.693 -20.712 -20.768 -20.909 -21.182 -21.575 -22.036 -22.522 -23.018 -23.516 -24.016 -24.516
 2.1 -20.279 -20.284 -20.301 -20.348 -20.470 -20.720 -21.097 -21.550 -22.034 -22.529 -23.027 -23.527 -24.026
 2.2 -19.974 -19.979 -19.992 -20.033 -20.140 -20.369 -20.730 -21.175 -21.656 -22.150 -22.648 -23.147 -23.647
 2.3 -19.750 -19.754 -19.766 -19.801 -19.897 -20.108 -20.454 -20.891 -21.369 -21.862 -22.360 -22.859 -23.359
 2.4 -19.591 -19.594 -19.605 -19.636 -19.723 -19.919 -20.252 -20.682 -21.157 -21.649 -22.146 -22.645 -23.145
 2.5 -19.483 -19.486 -19.495 -19.524 -19.603 -19.787 -20.107 -20.531 -21.003 -21.494 -21.992 -22.491 -22.990
 2.6 -19.416 -19.418 -19.427 -19.453 -19.525 -19.698 -20.007 -20.424 -20.894 -21.384 -21.881 -22.380 -22.879
 2.7 -19.381 -19.383 -19.391 -19.414 -19.481 -19.642 -19.940 -20.349 -20.816 -21.305 -21.801 -22.300 -22.800
 2.8 -19.371 -19.373 -19.380 -19.401 -19.462 -19.612 -19.896 -20.297 -20.761 -21.249 -21.745 -22.243 -22.743
 2.9 -19.382 -19.384 -19.390 -19.409 -19.464 -19.602 -19.871 -20.263 -20.722 -21.208 -21.704 -22.202 -22.702
 3.0 -19.409 -19.411 -19.416 -19.433 -19.482 -19.607 -19.861 -20.240 -20.694 -21.179 -21.674 -22.172 -22.672
 3.1 -19.449 -19.451 -19.456 -19.470 -19.513 -19.625 -19.861 -20.228 -20.675 -21.157 -21.652 -22.150 -22.649
 3.2 -19.500 -19.501 -19.505 -19.517 -19.554 -19.654 -19.872 -20.223 -20.663 -21.142 -21.635 -22.133 -22.632
 3.3 -19.558 -19.559 -19.562 -19.573 -19.605 -19.693 -19.891 -20.225 -20.655 -21.131 -21.623 -22.121 -22.620
 3.4 -19.623 -19.624 -19.627 -19.636 -19.663 -19.739 -19.917 -20.232 -20.652 -21.124 -21.614 -22.111 -22.610
 3.5 -19.693 -19.694 -19.696 -19.703 -19.726 -19.792 -19.951 -20.245 -20.653 -21.119 -21.607 -22.104 -22.603
 3.6 -19.767 -19.767 -19.769 -19.776 -19.795 -19.851 -19.991 -20.263 -20.656 -21.116 -21.603 -22.098 -22.597
 3.7 -19.844 -19.845 -19.846 -19.851 -19.868 -19.915 -20.037 -20.286 -20.663 -21.116 -21.599 -22.094 -22.593
 3.8 -19.924 -19.924 -19.926 -19.930 -19.943 -19.983 -20.089 -20.315 -20.673 -21.117 -21.597 -22.091 -22.588
